XX       YY      ZZ      XY  	XZ  	YZ  	X   	Y   	Z        D
0.001    0.001   -0.0001 0   	0   	0   	0   	0   	0        1
0.001    0.001   -0.0001 0   	0   	0   	0   	0   	0        -1

0.001    0.001   0.0001  0   	0   	0   	0   	0   	0        -5

0.01     0.01    0       0   	0   	0   	0   	1.1   	-1       -70

0.01     0.01    0       0   	0   	0   	0   	0   	-1       0
0.0001   0.00004 0.0001  0   	0   	0   	0   	0   	0        -1

0.0007   0.0002  0.0004  0   	0   	0   	0   	0    	-0.08    3



0.0001   0.00004 0.0001  0   	0   	0   	0   	0   	0        -1


0.01     0.01    0       0   	0   	0   	0   	0   	-1       0

0.0001   0.00004 0.0001  0   	0   	0   	0   	0   	0        -1
1        1       0       0      0       0       2       -4      2        1



